Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2019,"10        ",Female,14,Right-Handed,152.4,22.5,76.2,2,Bus,10-15,0.551,33,Soccer,50,75,75,50,50,50,22.5,"Same length",,,,January,Spring,No,No,Fruit,Water,"Mathematics and statistics",9,7,5,"Yes - broadband connection","In person",80,100,0,1,2,22,7,0,0,5,0,6,0,10,"Very little","Graduate degree",Other,Telepathy,Rich,"Doctor or nurse",Health
USA,TX,2016,"12        ",Female,17,Right-Handed,163,18,148,3,Other,15,.53,48,Swimming,550,300,700,600,356,666,18,"Same length",11,11,"Same length",March,Fall,Yes,No,Meat,Tea,Science,4,5,1,,,10,20,15,.15,15,0,15,0,.05,50,7,.15,50,3,Some,"Some college","Rock and roll",Telepathy,Happy,Relative,Health
USA,TX,2017,"11        ",Male,17,Right-Handed,182,27,183.5,1,Car,4,.224,50,"Football (American)",700,700,700,700,100,1000,27,"Same length",80,80,"Same length",July,Fall,No,No,Meat,Water,"Physical education",7,10,6,"Yes - broadband connection","Cell phone",300,400,15,2,5,2,12,0,3,1,3,2,12,3,"A lot","Graduate degree","Rap/Hip hop",Fly,Healthy,Relative,"Education/Youth development"
USA,TX,2021,"11        ",Female,16,Right-Handed,152.4,22.2,47,2,Car,20,4.42,38,Soccer,497,1000,1000,1000,198,679,22.2,"Same length",60,70,"Ring finger",March,Spring,Yes,No,Pizza/Pasta,Water,Art,8,7,5,"Yes - dial-up connection","Cell phone",4,5,6,4,1,8,2,1,1,5,1,1,0,2,Some,"Some college",Reggae,Telepathy,Healthy,Actor,Health
USA,TX,2018,"12        ",Female,18,Right-Handed,168,243,168,2,Car,5,1.8,46,Dancing,1000,1000,1000,1000,500,500,243,"Same length",30,50,"Ring finger",October,Fall,No,No,Fruit,Tea,Art,7,12,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",45,30,50,20,15,15,10,10,50,20,50,50,0,50,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,TX,2014,"12        ",Female,18,Right-Handed,153,23,48,2,Car,20,0.382,203,Soccer,278,588,439,337,209,610,23,"Same length",84,82,"Index finger",October,Spring,No,No,Other,"Soft drink (caffeinated)","Mathematics and statistics",4,12,6,"Yes - broadband connection","Text messaging",40,40,0,4,2,12,0,0,3,24,0,5,1,2,"A lot","High school",Other,"Freeze time",Healthy,Relative,Other
USA,TX,2020,"12        ",Male,17,Right-Handed,210.3,30.48,121.9,2,Car,"10 ",0.581,62,Basketball,1000,1000,1000,508,829,829,30.48,"Same length",30,32,"Ring finger",February,Winter,No,No,Meat,Water,"Mathematics and statistics",4,9,4,"Yes - broadband connection","Text messaging",5,10,8,2,17,2,1,1,1,1,40,40,22.5,1,"A lot","Some college","Rap/Hip hop","Super strength",Rich,Relative,"Education/Youth development"
USA,TX,2021,"11        ",Male,18,Right-Handed,184,28,182,2,Car,15min,0.721,59,Soccer,1000,50,1000,1000,80,90,28,"Same length",4,5,"Ring finger",September,Fall,No,No,Pizza/Pasta,Water,"Physical education",6,10,5,"Yes - other","In person",3,5,1hour,10min,10min,15min,1hour,15min,5min,5min,10min,10min,15min,1hour,Some,"Some college","Rap/Hip hop",Fly,Happy,"Musician or singer",Health
USA,TX,2018,"12        ",Male,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2023,"12        ",Female,17,Ambidextrous,163.3,24,157,1,Car,25,.375,50,Skateboarding/Rollerblading,824,578,909,658,567,497,24,"Same length",80,85,"Ring finger",January,Fall,Yes,No,"Rice/Noodle dishes",Water,Other,5,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,7,32,5,6,8,28,5,37,24,5,3,14,5,"A lot","Graduate degree",Other,Fly,Rich,Actor,Environment
